"osm_id","linestrings"
1070762563,"LINESTRING(24.0036164 35.5063715996901,24.0037111 35.5063395996901,24.0037708 35.5063156996901,24.003791 35.5063075996901,24.0038823 35.5062631996901,24.0039602 35.5062166996901,24.0040344 35.5061661996901,24.0042103 35.5060083996901,24.0052572 35.50485249969,24.0053993 35.50471319969,24.0055695 35.50457829969,24.0057465 35.50445929969,24.0059249 35.50436669969,24.0060765 35.50430159969,24.0062241 35.50424429969,24.0063134 35.50422049969,24.0063993 35.50421029969,24.0066043 35.50421539969)"
1070762572,"LINESTRING(24.0043129 35.5060761996901,24.0041661 35.5061773996901,24.0040246 35.5062705996901,24.0039301 35.5063241996901,24.0038852 35.5063472996901,24.0038421 35.5063694996901,24.0038302 35.5063755996901,24.0037247 35.5064201996901)"
1070758957,"LINESTRING(24.0043129 35.5060761996901,24.0042313 35.5061869996901,24.0041934 35.5062486996901,24.0041588 35.5063076996901,24.0041399 35.5063484996901,24.0041265 35.5064056996901,24.0041213 35.5064447996901,24.0041187 35.5064646996902,24.0041221 35.5065045996901,24.0041388 35.5065454996902,24.0041733 35.5065824996902)"
1070762571,"LINESTRING(24.002662 35.5064809996902,24.0025865 35.5064606996901,24.0024249 35.5064172996901)"
1070762568,"LINESTRING(24.0032062 35.5065502996902,24.0029244 35.5065241996901,24.002662 35.5064809996902)"
1070762557,"LINESTRING(24.0033497 35.5065573996902,24.0034542 35.5064104996901)"
1070758954,"LINESTRING(24.0033497 35.5065573996902,24.0032062 35.5065502996902)"
1070762562,"LINESTRING(24.0034461 35.5065321996901,24.0033497 35.5065573996902)"
1070762560,"LINESTRING(24.0034572 35.5065761996902,24.0033497 35.5065573996902)"
1070762556,"LINESTRING(24.0034542 35.5064104996901,24.0034461 35.5065321996901)"
1070762559,"LINESTRING(24.0035809 35.5064762996901,24.0034542 35.5064104996901)"
1070762558,"LINESTRING(24.0035809 35.5064762996901,24.0034461 35.5065321996901)"
1070762561,"LINESTRING(24.0034461 35.5065321996901,24.0034572 35.5065761996902)"
1070762565,"LINESTRING(24.0037247 35.5064201996901,24.0035809 35.5064762996901)"
